"filename", "language", "pip requirements", "TOML", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\jward\Documents\GitHub\charlie-reporting\README.md", "Markdown", 0, 0, 0, 51, 0, 9, 60
"c:\Users\jward\Documents\GitHub\charlie-reporting\config\config.toml", "TOML", 0, 20, 0, 0, 0, 5, 25
"c:\Users\jward\Documents\GitHub\charlie-reporting\fetch_csv_emails.py", "Python", 0, 0, 41, 0, 1, 13, 55
"c:\Users\jward\Documents\GitHub\charlie-reporting\pyproject.toml", "TOML", 0, 29, 0, 0, 0, 4, 33
"c:\Users\jward\Documents\GitHub\charlie-reporting\requirements.txt", "pip requirements", 6, 0, 0, 0, 11, 1, 18
"c:\Users\jward\Documents\GitHub\charlie-reporting\run.py", "Python", 0, 0, 8, 0, 8, 4, 20
"c:\Users\jward\Documents\GitHub\charlie-reporting\setup_dev.py", "Python", 0, 0, 9, 0, 8, 4, 21
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\__init__.py", "Python", 0, 0, 0, 0, 9, 2, 11
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\archiver.py", "Python", 0, 0, 19, 0, 15, 7, 41
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\config_loader.py", "Python", 0, 0, 30, 0, 18, 10, 58
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\email_fetcher.py", "Python", 0, 0, 154, 0, 53, 46, 253
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\excel_writer.py", "Python", 0, 0, 149, 0, 77, 49, 275
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\logger.py", "Python", 0, 0, 23, 0, 9, 10, 42
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\main.py", "Python", 0, 0, 173, 0, 70, 58, 301
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\transformer.py", "Python", 0, 0, 157, 0, 87, 48, 292
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\utils.py", "Python", 0, 0, 13, 0, 23, 8, 44
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\conftest.py", "Python", 0, 0, 15, 0, 38, 7, 60
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_email_fetcher_enhanced.py", "Python", 0, 0, 218, 0, 46, 94, 358
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_excel_writer_enhanced.py", "Python", 0, 0, 195, 0, 60, 89, 344
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_main_processor.py", "Python", 0, 0, 220, 0, 58, 98, 376
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_transformer.py", "Python", 0, 0, 203, 0, 67, 80, 350
"Total", "-", 6, 49, 1627, 51, 658, 646, 3037
