"filename", "language", "Python", "Markdown", "TOML", "pip requirements", "comment", "blank", "total"
"c:\Users\jward\Documents\GitHub\charlie-reporting\README.md", "Markdown", 0, 51, 0, 0, 0, 9, 60
"c:\Users\jward\Documents\GitHub\charlie-reporting\config\config.toml", "TOML", 0, 0, 20, 0, 0, 5, 25
"c:\Users\jward\Documents\GitHub\charlie-reporting\debug_fetch_recent.py", "Python", 61, 0, 0, 0, 12, 19, 92
"c:\Users\jward\Documents\GitHub\charlie-reporting\debug_mock.py", "Python", 26, 0, 0, 0, 3, 8, 37
"c:\Users\jward\Documents\GitHub\charlie-reporting\fetch_csv_emails.py", "Python", 41, 0, 0, 0, 1, 13, 55
"c:\Users\jward\Documents\GitHub\charlie-reporting\pyproject.toml", "TOML", 0, 0, 29, 0, 0, 4, 33
"c:\Users\jward\Documents\GitHub\charlie-reporting\requirements.txt", "pip requirements", 0, 0, 0, 6, 11, 1, 18
"c:\Users\jward\Documents\GitHub\charlie-reporting\run.py", "Python", 8, 0, 0, 0, 8, 4, 20
"c:\Users\jward\Documents\GitHub\charlie-reporting\setup_dev.py", "Python", 9, 0, 0, 0, 8, 4, 21
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\__init__.py", "Python", 0, 0, 0, 0, 9, 2, 11
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\archiver.py", "Python", 19, 0, 0, 0, 15, 7, 41
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\config_loader.py", "Python", 30, 0, 0, 0, 18, 10, 58
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\email_fetcher.py", "Python", 155, 0, 0, 0, 54, 46, 255
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\excel_writer.py", "Python", 152, 0, 0, 0, 82, 53, 287
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\logger.py", "Python", 23, 0, 0, 0, 9, 10, 42
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\main.py", "Python", 175, 0, 0, 0, 71, 58, 304
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\transformer.py", "Python", 158, 0, 0, 0, 89, 48, 295
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\utils.py", "Python", 13, 0, 0, 0, 23, 8, 44
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\conftest.py", "Python", 15, 0, 0, 0, 38, 7, 60
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_email_fetcher_enhanced.py", "Python", 218, 0, 0, 0, 46, 94, 358
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_excel_writer_enhanced.py", "Python", 197, 0, 0, 0, 61, 90, 348
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_main_processor.py", "Python", 220, 0, 0, 0, 58, 98, 376
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_transformer.py", "Python", 203, 0, 0, 0, 67, 80, 350
"Total", "-", 1723, 51, 49, 6, 683, 678, 3190
