"filename", "language", "Python", "TOML", "Markdown", "pip requirements", "Batch", "comment", "blank", "total"
"c:\Users\jward\Documents\GitHub\charlie-reporting\README.md", "Markdown", 0, 0, 57, 0, 0, 0, 9, 66
"c:\Users\jward\Documents\GitHub\charlie-reporting\config\config.toml", "TOML", 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\jward\Documents\GitHub\charlie-reporting\debug_email_time.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jward\Documents\GitHub\charlie-reporting\debug_fetch_recent.py", "Python", 61, 0, 0, 0, 0, 12, 19, 92
"c:\Users\jward\Documents\GitHub\charlie-reporting\debug_mock.py", "Python", 26, 0, 0, 0, 0, 3, 8, 37
"c:\Users\jward\Documents\GitHub\charlie-reporting\debug_transformer.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\README.md", "Markdown", 0, 0, 166, 0, 0, 0, 40, 206
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\config.toml", "TOML", 0, 42, 0, 0, 0, 2, 9, 53
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\data_generation\data_generator.py", "Python", 290, 0, 0, 0, 0, 52, 80, 422
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\debugging\simple_password_test.py", "Python", 72, 0, 0, 0, 0, 18, 19, 109
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\csv_email_sender.py", "Python", 122, 0, 0, 0, 0, 12, 12, 146
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_debug.py", "Python", 88, 0, 0, 0, 0, 29, 15, 132
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_sender.py", "Python", 204, 0, 0, 0, 0, 43, 25, 272
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_sender_auto.py", "Python", 441, 0, 0, 0, 0, 34, 28, 503
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_sender_env.py", "Python", 236, 0, 0, 0, 0, 25, 25, 286
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_sender_fixed.py", "Python", 204, 0, 0, 0, 0, 43, 25, 272
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_sender_oauth.py", "Python", 362, 0, 0, 0, 0, 37, 51, 450
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\email_sender_smtp.py", "Python", 367, 0, 0, 0, 0, 23, 44, 434
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\focused_email_sender.py", "Python", 136, 0, 0, 0, 0, 16, 17, 169
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\quick_email_test.py", "Python", 65, 0, 0, 0, 0, 11, 13, 89
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\setup_secure_email.py", "Python", 79, 0, 0, 0, 0, 11, 15, 105
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\simple_email_debug.py", "Python", 53, 0, 0, 0, 0, 7, 14, 74
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\email_senders\simple_email_test.py", "Python", 45, 0, 0, 0, 0, 10, 15, 70
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\master_end_to_end_demo.py", "Python", 266, 0, 0, 0, 0, 57, 87, 410
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\testing\manual_test.py", "Python", 102, 0, 0, 0, 0, 8, 18, 128
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\testing\quick_auth_test.py", "Python", 31, 0, 0, 0, 0, 9, 11, 51
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\testing\test_email.bat", "Batch", 0, 0, 0, 0, 17, 0, 6, 23
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo\run_scripts\testing\test_single_csv.py", "Python", 71, 0, 0, 0, 0, 79, 24, 174
"c:\Users\jward\Documents\GitHub\charlie-reporting\demo_new_features.py", "Python", 63, 0, 0, 0, 0, 21, 20, 104
"c:\Users\jward\Documents\GitHub\charlie-reporting\demos\demo_complete_integration.py", "Python", 415, 0, 0, 0, 0, 32, 13, 460
"c:\Users\jward\Documents\GitHub\charlie-reporting\demos\demo_configuration_management.py", "Python", 286, 0, 0, 0, 0, 31, 76, 393
"c:\Users\jward\Documents\GitHub\charlie-reporting\demos\demo_directory_scanning_feature.py", "Python", 160, 0, 0, 0, 0, 28, 51, 239
"c:\Users\jward\Documents\GitHub\charlie-reporting\demos\demo_enhanced_excel_operations.py", "Python", 257, 0, 0, 0, 0, 34, 57, 348
"c:\Users\jward\Documents\GitHub\charlie-reporting\demos\demo_multiple_outlook_accounts.py", "Python", 199, 0, 0, 0, 0, 40, 74, 313
"c:\Users\jward\Documents\GitHub\charlie-reporting\demos\demo_real_time_hourly_processing.py", "Python", 65, 0, 0, 0, 0, 18, 23, 106
"c:\Users\jward\Documents\GitHub\charlie-reporting\fetch_csv_emails.py", "Python", 41, 0, 0, 0, 0, 1, 13, 55
"c:\Users\jward\Documents\GitHub\charlie-reporting\pyproject.toml", "TOML", 0, 29, 0, 0, 0, 0, 4, 33
