Date : 2025-07-28 22:07:05
Directory : /home/jon/repos/charlie-reporting
Total : 261 files,  20986 codes, 4775 comments, 5356 blanks, all 31117 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        211 |     15,895 |      4,627 |      4,129 |     24,651 |
| Markdown         |         24 |      4,429 |          0 |      1,037 |      5,466 |
| TOML             |         11 |        272 |         32 |         67 |        371 |
| Shell Script     |          2 |        179 |         36 |         41 |        256 |
| pip requirements |          7 |         64 |         57 |         49 |        170 |
| PowerShell       |          1 |         53 |          8 |          9 |         70 |
| Batch            |          3 |         45 |          6 |         13 |         64 |
| Ini              |          1 |         31 |          0 |          1 |         32 |
| Docker           |          1 |         18 |          9 |         10 |         37 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        261 |     20,986 |      4,775 |      5,356 |     31,117 |
| . (Files)                                                                                              |         32 |      4,545 |        335 |        891 |      5,771 |
| config                                                                                                 |          2 |         28 |          4 |          9 |         41 |
| demo                                                                                                   |         43 |      4,254 |        690 |        720 |      5,664 |
| demo (Files)                                                                                           |          2 |        208 |          2 |         49 |        259 |
| demo/run_scripts                                                                                       |         41 |      4,046 |        688 |        671 |      5,405 |
| demo/run_scripts (Files)                                                                               |         21 |      1,021 |        206 |        209 |      1,436 |
| demo/run_scripts/data_generation                                                                       |          1 |        295 |         53 |         81 |        429 |
| demo/run_scripts/debugging                                                                             |          1 |         72 |         18 |         19 |        109 |
| demo/run_scripts/email_senders                                                                         |         14 |      2,437 |        315 |        303 |      3,055 |
| demo/run_scripts/email_senders (Files)                                                                 |          4 |        295 |         51 |         51 |        397 |
