Full Export Completed,Partial Result Timestamp,Filters,Users,Date,Initial Direction,First Queue
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,56,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,32,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,24,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,78,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,94,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,63,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,88,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,55,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,62,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,33,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,97,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,70,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,2,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,18,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,24,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,52,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,58,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,46,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,92,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,73,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,10,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,91,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,5,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,41,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,26,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,66,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,84,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,84,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,20,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,90,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,92,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,87,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,4,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,41,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,13,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,1,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,36,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,96,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,35,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,81,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,57,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,93,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,2,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,10,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,51,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,14,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,95,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,12,2025-08-18,outbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,54,2025-08-18,inbound,q1
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,,43,2025-08-18,inbound,q1
